From,To,Neuropil,Synapses,Neuro Transmitter
720575940610788069,720575940632425919,GNG,5,ACH
720575940611875570,720575940616885538,GNG,8,ACH
720575940611875570,720575940632889389,GNG,5,ACH
720575940612670570,720575940616885538,GNG,5,ACH
720575940612670570,720575940620900446,GNG,7,DA
720575940612670570,720575940621502051,GNG,13,DA
720575940612670570,720575940628853239,GNG,10,ACH
720575940612670570,720575940639332736,GNG,7,ACH
720575940613601698,720575940611875570,GNG,5,ACH
720575940616885538,720575940629176663,GNG,6,ACH
720575940616885538,720575940640649691,GNG,12,ACH
720575940617000768,720575940616885538,GNG,6,DA
720575940617000768,720575940621502051,GNG,7,DA
720575940617000768,720575940621754367,GNG,8,DA
720575940617000768,720575940624963786,GNG,7,ACH
720575940617000768,720575940638202345,GNG,5,DA
720575940620900446,720575940612670570,GNG,6,DA
720575940620900446,720575940628853239,GNG,5,ACH
720575940620900446,720575940629176663,GNG,5,ACH
720575940620900446,720575940632425919,GNG,5,ACH
720575940620900446,720575940639198653,GNG,9,ACH
720575940621502051,720575940612670570,GNG,5,ACH
720575940621502051,720575940616885538,GNG,5,DA
720575940621502051,720575940621754367,GNG,5,SER
720575940621502051,720575940639332736,GNG,10,DA
720575940621754367,720575940616885538,GNG,12,DA
720575940621754367,720575940617000768,GNG,10,DA
720575940621754367,720575940639332736,GNG,5,DA
720575940624963786,720575940612670570,GNG,5,ACH
720575940624963786,720575940617000768,GNG,8,ACH
720575940624963786,720575940630233916,GNG,6,DA
720575940624963786,720575940637568838,GNG,21,ACH
720575940624963786,720575940638202345,GNG,10,ACH
720575940628853239,720575940612670570,GNG,14,ACH
720575940628853239,720575940617000768,GNG,7,ACH
720575940628853239,720575940620900446,GNG,7,ACH
720575940628853239,720575940621502051,GNG,9,ACH
720575940628853239,720575940639198653,GNG,12,ACH
720575940628853239,720575940639332736,GNG,5,DA
720575940629176663,720575940611875570,GNG,6,ACH
720575940630233916,720575940624963786,GNG,9,DA
720575940630233916,720575940637568838,GNG,16,DA
720575940630233916,720575940638202345,GNG,16,DA
720575940630797113,720575940632889389,GNG,7,SER
720575940632425919,720575940629176663,GNG,5,DA
720575940633143833,720575940611875570,GNG,5,ACH
720575940637568838,720575940624963786,GNG,9,DA
720575940637568838,720575940630233916,GNG,7,DA
720575940637568838,720575940632889389,GNG,5,ACH
720575940637568838,720575940638202345,GNG,5,DA
720575940638202345,720575940617000768,GNG,8,DA
720575940638202345,720575940624963786,GNG,11,ACH
720575940638202345,720575940630233916,GNG,18,DA
720575940638202345,720575940637568838,GNG,11,DA
720575940639198653,720575940612670570,GNG,7,ACH
720575940639198653,720575940616885538,GNG,5,DA
720575940639198653,720575940620900446,GNG,13,ACH
720575940639198653,720575940628853239,GNG,11,ACH
720575940639198653,720575940632425919,GNG,5,ACH
720575940639332736,720575940616885538,GNG,6,SER
720575940639332736,720575940621754367,GNG,6,DA
720575940639332736,720575940640649691,GNG,5,ACH
720575940640649691,720575940616885538,GNG,7,SER
720575940630233916,720575940638202345,PRW,1,ACH
720575940638202345,720575940630233916,PRW,3,ACH